Week;Date;PRICE_12PK;PRICE_12PK.LN;PRICE_18PK;PRICE_18PK.LN;PRICE_30PK;PRICE_30PK.LN;CASES_12PK;CASES_12PK.LN;CASES_18PK;CASES_18PK.LN;CASES_30PK;CASES_30PK.LN
1;01/01/2003;19.98;2.9947;14.10;2.6462;15.19;2.7206;223.5;5.4094;439.0;6.0845;55.00;4.0073
2;08/01/2003;19.98;2.9947;18.65;2.9258;15.19;2.7206;215.0;5.3706;98.0;4.5850;66.75;4.2010
3;15/01/2003;19.98;2.9947;18.65;2.9258;13.87;2.6297;227.5;5.4272;70.0;4.2485;242.00;5.4889
4;22/01/2003;19.98;2.9947;18.65;2.9258;12.83;2.5518;244.5;5.4992;52.0;3.9512;488.50;6.1913
5;29/01/2003;19.98;2.9947;18.65;2.9258;13.16;2.5772;313.5;5.7478;64.0;4.1589;308.75;5.7325
6;05/02/2003;19.98;2.9947;18.65;2.9258;15.19;2.7206;279.0;5.6312;72.0;4.2767;111.75;4.7163
7;12/02/2003;19.98;2.9947;18.65;2.9258;13.92;2.6333;238.0;5.4723;47.0;3.8501;252.50;5.5314
8;19/02/2003;20.10;3.0007;18.73;2.9301;14.42;2.6686;315.5;5.7542;85.0;4.4427;221.25;5.3993
9;26/02/2003;20.12;3.0017;18.75;2.9312;13.83;2.6268;217.0;5.3799;59.0;4.0775;245.25;5.5023
10;05/03/2003;20.13;3.0022;18.75;2.9312;14.50;2.6741;209.5;5.3447;63.0;4.1431;148.50;5.0006
11;12/03/2003;20.14;3.0027;18.75;2.9312;13.87;2.6297;227.0;5.4250;57.0;4.0431;229.75;5.4370
12;19/03/2003;20.12;3.0017;18.75;2.9312;13.64;2.6130;216.5;5.3776;54.0;3.9890;312.00;5.7430
13;26/03/2003;20.12;3.0017;13.87;2.6297;14.31;2.6610;169.0;5.1299;404.0;6.0014;96.75;4.5721
14;02/04/2003;20.13;3.0022;14.27;2.6582;13.85;2.6283;178.0;5.1818;380.0;5.9402;123.25;4.8142
15;09/04/2003;20.14;3.0027;18.76;2.9317;14.20;2.6532;301.5;5.7088;65.0;4.1744;200.50;5.3008
16;16/04/2003;20.14;3.0027;18.77;2.9323;13.64;2.6130;266.5;5.5854;40.0;3.6889;359.75;5.8854
17;23/04/2003;20.13;3.0022;13.87;2.6297;14.33;2.6624;182.5;5.2068;456.0;6.1225;113.50;4.7318
18;30/04/2003;20.13;3.0022;14.14;2.6490;13.14;2.5757;159.0;5.0689;176.0;5.1705;136.50;4.9163
19;07/05/2003;20.13;3.0022;18.76;2.9317;13.81;2.6254;285.5;5.6542;61.0;4.1109;225.50;5.4183
20;14/05/2003;20.13;3.0022;18.72;2.9296;15.19;2.7206;360.0;5.8861;91.0;4.5109;122.25;4.8061
21;21/05/2003;20.13;3.0022;18.76;2.9317;13.13;2.5749;263.0;5.5722;59.0;4.0775;443.75;6.0953
22;28/05/2003;19.18;2.9539;18.76;2.9317;13.63;2.6123;443.5;6.0947;83.0;4.4188;322.75;5.7769
23;04/06/2003;14.78;2.6933;18.74;2.9307;15.19;2.7206;1101.5;7.0044;41.0;3.7136;53.00;3.9703
24;11/06/2003;16.04;2.7751;18.75;2.9312;13.89;2.6312;814.0;6.7020;47.0;3.8501;140.75;4.9470
25;18/06/2003;20.12;3.0017;18.75;2.9312;14.28;2.6589;365.0;5.8999;84.0;4.4308;210.75;5.3507
26;25/06/2003;19.75;2.9832;18.75;2.9312;15.19;2.7206;510.0;6.2344;85.0;4.4427;110.50;4.7050
27;02/07/2003;19.65;2.9781;18.75;2.9312;13.12;2.5741;580.5;6.3639;116.0;4.7536;568.25;6.3426
28;09/07/2003;19.69;2.9801;13.79;2.6239;13.78;2.6232;251.0;5.5255;544.0;6.2989;115.50;4.7493
29;16/07/2003;20.12;3.0017;13.49;2.6019;15.19;2.7206;237.0;5.4681;890.0;6.7912;58.75;4.0733
30;23/07/2003;20.12;3.0017;14.89;2.7007;15.19;2.7206;302.5;5.7121;371.0;5.9162;77.25;4.3470
31;30/07/2003;20.13;3.0022;13.94;2.6348;15.19;2.7206;229.5;5.4359;557.0;6.3226;66.25;4.1934
32;06/08/2003;20.14;3.0027;13.67;2.6152;15.19;2.7206;188.5;5.2391;775.0;6.6529;50.00;3.9120
33;13/08/2003;15.14;2.7173;14.43;2.6693;15.19;2.7206;795.5;6.6790;236.0;5.4638;46.50;3.8395
34;20/08/2003;14.33;2.6624;18.75;2.9312;15.19;2.7206;1556.5;7.3502;43.0;3.7612;65.75;4.1859
35;27/08/2003;16.24;2.7875;18.22;2.9025;13.14;2.5757;807.5;6.6939;63.0;4.1431;252.75;5.5324
36;03/09/2003;19.93;2.9922;14.06;2.6433;13.45;2.5990;243.0;5.4931;469.0;6.1506;179.00;5.1874
37;10/09/2003;21.06;3.0474;14.43;2.6693;13.00;2.5649;201.5;5.3058;335.0;5.8141;226.25;5.4216
38;17/09/2003;21.19;3.0535;19.48;2.9694;13.60;2.6101;294.0;5.6836;75.0;4.3175;288.50;5.6647
39;24/09/2003;21.23;3.0554;15.15;2.7180;14.46;2.6714;220.5;5.3959;461.0;6.1334;114.25;4.7384
40;01/10/2003;20.12;3.0017;13.79;2.6239;14.94;2.7040;255.5;5.5432;817.0;6.7056;70.00;4.2485
41;08/10/2003;14.73;2.6899;14.31;2.6610;15.19;2.7206;920.5;6.8249;200.0;5.2983;47.75;3.8660
42;15/10/2003;14.57;2.6790;19.50;2.9704;15.19;2.7206;730.0;6.5930;32.0;3.4657;98.75;4.5926
43;22/10/2003;15.94;2.7688;13.85;2.6283;15.19;2.7206;262.5;5.5703;460.0;6.1312;77.00;4.3438
44;29/10/2003;20.70;3.0301;14.23;2.6554;13.43;2.5975;209.5;5.3447;751.0;6.6214;160.50;5.0783
45;05/11/2003;19.57;2.9740;19.31;2.9606;14.37;2.6651;283.0;5.6454;70.0;4.2485;143.50;4.9663
46;12/11/2003;19.60;2.9755;19.29;2.9596;15.19;2.7206;262.5;5.5703;80.0;4.3820;133.00;4.8903
47;19/11/2003;19.94;2.9927;13.76;2.6218;15.19;2.7206;310.0;5.7366;523.0;6.2596;68.75;4.2305
48;26/11/2003;21.28;3.0578;13.45;2.5990;15.19;2.7206;278.5;5.6294;741.0;6.6080;81.75;4.4037
49;03/12/2003;14.56;2.6783;15.13;2.7167;15.19;2.7206;741.5;6.6087;130.0;4.8675;56.25;4.0298
50;10/12/2003;14.39;2.6665;19.43;2.9668;15.19;2.7206;1316.0;7.1824;69.0;4.2341;68.75;4.2305
51;17/12/2003;16.81;2.8220;13.26;2.5848;15.19;2.7206;449.0;6.1070;493.0;6.2005;49.25;3.8969
52;24/12/2003;19.86;2.9887;13.92;2.6333;15.19;2.7206;505.0;6.2246;814.0;6.7020;76.50;4.3373
